Notification Name,Group,Priority,Trigger,Type,Workflow
Tax preparation appointment,Tax Services,High,,Email,
Document submission,Tax Services,Medium,,Email,
Tax return status,Tax Services,Medium,,Email,
Tax payment deadline,Tax Services,High,,Email,
Missing document,Tax Services,High,,Email,
Monthly statement,Accounting,Medium,,Email,
Invoice due,Accounting,High,,Email,
Document review,Legal,Medium,,Email,
Document signing,Legal,High,,Email,
Welcome email,Client Relations,Medium,,Email,
Appointment confirmation,Urgent,High,,SMS,
System outage,Urgent,Critical,,SMS,
New feature announcement,System,Low,,In-App,
Document upload,System,Medium,,In-App,
Important document arrival,Mobile,High,,Push,
Meeting start,Mobile,Medium,,Push,
