Task Name,% Completed,Actual Cost,Actual Revenue,Associated Team,Billable Hours,Billing Type,Budget Balance,Completion Date,Cost Variance,Created By,Created Time,Critical Task,Custom Status,Dependency status,Difference,Due Date,Duration,Duration Type,Earned Value,Forecasted Cost,Forecasted Hours,Forecasted Revenue,Individual Work,Non Billable Hours,Owner,Parent Task ID,Parent Task Name,Parent Task System ID,Phase End Date,Phase Name,Phase Start Date,Planned Cost,Planned Revenue,Planned Value,Predecessors,Priority,Project Group,Project ID,Project Name,Project Status,Schedule Status,Schedule Variance,Start Date,Successors,Tags,Task Comment,Task Description,Task ID,Task List ID,Task List Name,Task System ID,Task URL,Total Log Hours,Work Hours Per Owner,Work Hours Unit,Work hours
Develop Training Content for Each Mandated Topic,0,-,-,HR Implementation Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:02 AM (EST)",Yes,In Progress,Independent Tasks,00:00,"December 31, 2024 6:00 PM (EST)",92,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,In Progress,-,"January 10, 2024 9:00 AM (EST)",,"""Training"",""HR"",""Development"",""Compliance"",""Project Management""",,"This task involves developing comprehensive training content for each mandated topic within the HR Implementation Plan. The HR Implementation Team, led by Cody Rice-Velasquez, is currently working on this task, which is critical and scheduled to start on January 10, 2024, and conclude by December 31, 2024. The task is marked as ""In Progress"" with no hours logged yet, indicating the need for focused efforts to ensure timely completion.",HI2-T22,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055671,0:00,0,hrs,240:00
"Training: Time, Leave & Wages",0,-,-,"QHR FMLA and Wage Compliance Team, Workers Comp and Safety Team",0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:42 PM (EDT)",No,In Progress,Independent Tasks,00:00,"July 10, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T22,Develop Training Content for Each Mandated Topic,2350689000000055671,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"July 10, 2024 9:00 AM (EDT)",,"""Training"",""Time Management"",""Leave Policies"",""Wages Compliance"",""HR Implementation""",,"This task involves the development of training content for mandated topics related to Time, Leave, and Wages. It is currently in progress under the oversight of Cody Rice-Velasquez, with a scheduled completion date of July 10, 2024. The task is part of the HR Implementation Plan and is categorized as an independent task within the Audits project group.",HI2-T62,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000131183,0:00,0,hrs,08:00
FMLA,0,-,-,QHR FMLA and Wage Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:04 AM (EST)",No,On Hold,Independent Tasks,00:00,"August 10, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T62,"Training: Time, Leave & Wages",2350689000000131183,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"August 10, 2024 9:00 AM (EDT)",,"""FMLA"",""HR Implementation Plan"",""Training"",""Compliance"",""Audits"",""On Hold"",""Active""",,"The task involves the implementation of FMLA training as part of the HR Implementation Plan. It is currently on hold and is categorized under the QHR FMLA and Wage Compliance Team. The training is critical to ensuring compliance with mandated regulations regarding time, leave, and wages.",HI2-T26,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055707,0:00,0,hrs,08:00
FLSA,0,-,-,QHR FMLA and Wage Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:07 AM (EST)",Yes,On Hold,Independent Tasks,00:00,"October 10, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T62,"Training: Time, Leave & Wages",2350689000000131183,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"October 10, 2024 9:00 AM (EDT)",,"""FLSA"", ""QHR"", ""FMLA"", ""Wage Compliance"", ""Training"", ""HR Implementation Plan"", ""Active"", ""Audits""",,"This task involves the development and implementation of mandated training related to FLSA (Fair Labor Standards Act) compliance. It is currently on hold, with a critical status indicating its importance within the HR Implementation Plan. The task is scheduled to begin on January 11, 2024, and is due by October 10, 2024, with no billable hours logged to date.",HI2-T33,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055763,0:00,0,hrs,00:00
EPA,0,-,-,QHR FMLA and Wage Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:07 AM (EST)",No,On Hold,Independent Tasks,00:00,"October 14, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T62,"Training: Time, Leave & Wages",2350689000000131183,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Overdue,-,"October 14, 2024 9:00 AM (EDT)",,"""EPA"",""HR Implementation Plan"",""Training"",""Compliance"",""Mandated Training"",""QHR FMLA"",""Wage Compliance""",,"This task involves the implementation of mandated training related to time, leave, and wages as part of the HR Implementation Plan. Currently on hold, it is scheduled to start on October 14, 2024, with a duration of one day. The associated team is the QHR FMLA and Wage Compliance Team, and the task is considered overdue.",HI2-T36,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055787,0:00,0,hrs,08:00
ACA,0,-,-,QHR FMLA and Wage Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:07 AM (EST)",Yes,On Hold,Independent Tasks,00:00,"October 18, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T62,"Training: Time, Leave & Wages",2350689000000131183,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 18, 2024 9:00 AM (EDT)",,"""HR Implementation Plan"",""Training"",""Compliance"",""On Hold"",""Upcoming""",,"The ACA task is part of the HR Implementation Plan and is currently on hold. It is a critical task related to mandated training focusing on time, leave, and wages, with a scheduled start date of January 11, 2024, and a due date of October 18, 2024. The task is overseen by Cody Rice-Velasquez and is categorized under the Audits project group.",HI2-T34,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055771,0:00,0,hrs,08:00
I9s,0,-,-,I9 Compliance Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:04 AM (EST)",Yes,On Hold,Independent Tasks,00:00,"December 21, 2024 6:00 PM (EST)",61,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T62,"Training: Time, Leave & Wages",2350689000000131183,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 22, 2024 9:00 AM (EDT)",,"""I9s"",""I9 Compliance"",""HR Implementation Plan"",""Training"",""Active"",""On Hold""",,"This task involves the I9 Compliance Training as part of the HR Implementation Plan, which is currently on hold. The training is critical and has a planned start date of January 11, 2024, with a completion date set for December 21, 2024. The task is categorized under Audits and is expected to ensure compliance with mandated training requirements.",HI2-T28,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055723,0:00,0,hrs,00:00
BGCK Procedures,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 9:10 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"October 23, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T62,"Training: Time, Leave & Wages",2350689000000131183,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 23, 2024 9:00 AM (EDT)",,"""BGCK"",""HR Implementation Plan"",""Training"",""Audits"",""In Progress""",,"This task involves the mandated training related to Time, Leave, and Wages as part of the HR Implementation Plan. It is currently in progress and critical to the project, with a scheduled start date of January 11, 2024, and a due date of October 23, 2024. The task is independent and has not yet been started, with a completion percentage of 0%.",HI2-T78,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000131600,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000131683,0:00,0,hrs,08:00
Title VII,0,-,-,Diversity and Anit-Harrassment Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:07 AM (EST)",Yes,On Hold,Independent Tasks,00:00,"February 11, 2024 6:00 PM (EST)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T63,Training: Anti-Harassment and Diversity Training,2350689000000131197,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"February 11, 2024 9:00 AM (EST)",,"""Title VII"",""Diversity"",""Anti-Harassment"",""Training"",""HR Implementation Plan"",""Upcoming"",""Critical Task""",,"Task Title VII focuses on mandated training related to anti-harassment and diversity, assigned to the Diversity and Anti-Harassment Team. Currently on hold, this critical task is scheduled to commence on February 11, 2024, and is part of the HR Implementation Plan. The task is independent, with no hours logged yet, and aims to ensure compliance and awareness within the organization.",HI2-T35,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055779,0:00,0,hrs,08:00
Training: Anti-Harassment and Diversity Training,0,-,-,Diversity and Anit-Harrassment Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:42 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"January 11, 2024 6:00 PM (EST)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T22,Develop Training Content for Each Mandated Topic,2350689000000055671,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"January 11, 2024 9:00 AM (EST)",,"""Anti-Harassment"",""Diversity Training"",""HR Implementation"",""Mandated Training"",""Training"",""In Progress""",,"This task involves the development and implementation of anti-harassment and diversity training as part of the HR Implementation Plan. The training is mandated and is to be completed by January 11, 2024. The task is currently in progress and is critical to the associated Diversity and Anti-Harassment Team.",HI2-T63,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000131197,0:00,0,hrs,08:00
