filename,prompt,styling
sunset_beach.png,Beautiful sunset over a tropical beach with palm trees,photorealistic
abstract_waves.png,Flowing waves of color and light,abstract
office_workspace.png,Modern minimalist office workspace with laptop and plants,photorealistic
cat_illustration.png,Cute cartoon cat playing with yarn ball,illustration
geometric_3d.png,Geometric shapes floating in space,3d
mountain_line.png,Mountain landscape silhouette,line art
coffee_shop.png,Cozy coffee shop interior with warm lighting,photorealistic
space_abstract.png,Cosmic abstract patterns and stars,random
robot_character.png,Friendly robot character design,illustration
city_skyline.png,Futuristic city skyline at night,3d

