Knowledge Name/Title,Access Level,Accuracy VerifiedCheckbox,Associated Agent/Bot,Category,Confidence/Trust Score,Content Summary/Key Info,Created Date,Dependencies/Links,Intent/Purpose,Last edited time,Source/Origin,Status,Tags,UUID
QiAlly Service Overview,Public,Yes,Client Onboarding Bot,Guideline,95,"High-level summary of QiAlly services: strategy, tech setup, CFO OS, client portals.","September 28, 2025 12:23 AM",,Introduce prospects to service offerings,"September 28, 2025 12:43 AM",QiAlly Marketing Pack,Done,"leadgen, overview",AIK-27cf84a0440280688344ee21e42c7458
Client Onboarding Checklist,Internal,Yes,Onboarding Assistant,Procedure,90,"Step-by-step tasks for onboarding: contract, kickoff call, portal setup, first deliverables.","September 28, 2025 12:23 AM",,Guide team and client through smooth onboarding,"September 28, 2025 12:43 AM",Ops Manual,Done,"leadgen, onboarding",AIK-27cf84a044028057ab71c320c871b86f
How to Access Your Client Portal,Public,Yes,Support Bot,FAQ,93,"Instructions for logging into QiAlly portal, uploading documents, and using chat/tickets.","September 28, 2025 12:23 AM",,Help new clients self-serve and engage easily,"September 28, 2025 12:43 AM",Support Docs,Done,"leadgen, portal",AIK-27cf84a04402805a9a1ddc1927939283
Pricing & Engagement Models,Public,Yes,Sales Assistant,Policy,92,"Explains retainer, buffer deposit, growth bonuses, and service tiers for new clients.","September 28, 2025 12:23 AM",,Help prospects understand investment and ROI,"September 28, 2025 12:43 AM",QiSuite CFO OS,Done,"leadgen, pricing",AIK-27cf84a044028075bd21dd65cd2723ad
Case Studies: BuiltByRays Construction,Public,Yes,Client Success Bot,Article,90,Shows real-world example of financial growth and ops stability provided by QiAlly.,"September 28, 2025 12:23 AM",,Demonstrate value through client success,"September 28, 2025 12:43 AM",Case Study Pack,Done,"casestudy, leadgen",AIK-27cf84a0440280a988cef6da41db56cc
Why Choose QiAlly?,Public,Yes,Sales Assistant,FAQ,95,"Explains QiAlly's unique blend of strategy, tech, and CFO-level support compared to generic consultants.","September 28, 2025 12:32 AM",,Answer prospect question on differentiation,"September 28, 2025 12:43 AM",Marketing Copy,Done,leadgen,AIK-27cf84a0440280cea80bf556fadab9f1
Industries We Serve,Public,Yes,Client Onboarding Bot,FAQ,90,"Outlines focus areas: construction, small business, consulting, creative professionals, nonprofits.","September 28, 2025 12:35 AM",,Clarify fit for potential clients,"September 28, 2025 12:43 AM",QiAlly Marketing Pack,Done,leadgen,AIK-27cf84a04402806f97d8c400656f5a57
Onboarding Timeline,Public,Yes,Onboarding Assistant,FAQ,92,"Typical onboarding takes 1–2 weeks: setup, kickoff call, portal access, first deliverables.","September 28, 2025 12:35 AM",,Answer prospect question about speed,"September 28, 2025 12:43 AM",Ops Manual,Done,"leadgen, onboarding",AIK-27cf84a044028004ba2ddf5cf1bdb44a
Support Availability,Public,Yes,Support Bot,FAQ,91,"Support hours, escalation paths, and typical response times for clients.","September 28, 2025 12:35 AM",,Assure prospects of availability,"September 28, 2025 12:43 AM",Support Policy,Done,leadgen,AIK-27cf84a04402807a9b97eb01d77efc54
Data Security & Privacy,Public,Yes,Compliance Bot,FAQ,93,"Explains commitment to secure portals, encrypted communication, and client data handling practices.","September 28, 2025 12:35 AM",,Reassure prospects about data handling,"September 28, 2025 12:47 AM",Compliance Manual,Done,"leadgen, overview",AIK-27cf84a0440280de9afdfe8eec616c22
ROI and Results Timeline,Publice,Yes,Sales Assistant,Value,85,"Explains typical client outcomes and how long it takes to see results (cost savings, process clarity, revenue growth) — usually 1–3 months for efficiency gains, 3–6 months for financial ROI.","September 28, 2025 12:45 AM",,Set realistic expectations for new clients about outcomes,"September 28, 2025 12:45 AM","Case Studies, Pricing Models",Done,"casestudy, leadgen",AIK-27cf84a04402801290cddbf4f53ea184
