Card,Card Name,Card Type,Image,Latest Appearance,Main Keywords,Major or Minor,One Liner,Reading Journal,Times Appeared,id,_source_file
# XIV Temperance - Reversed,# XIV Temperance - Reversed (#%20XIV%20Temperance%20-%20Reversed%2013ef84a04402819cbb32cf659834ae7c.md),Major Card,14_Temperance.jpg,,"Imbalance, disharmony, lack of moderation",Major,"Temperance embodies balance, harmony, and moderation. It advises finding a middle path and integrating opposites to achieve inner peace.",,0,14.0,card_list_all
# King of Pentacles - Reversed,# King of Pentacles - Reversed (#%20King%20of%20Pentacles%20-%20Reversed%2013ef84a044028143a728fb135cef716a.md),Pentacles,63_King_of_Pentacles.jpg,,"Financial Instability, Lack of Growth, lost potential",Minor,"The King of Pentacles symbolizes financial stability, leadership, and mastery of the material world. It advises you to take charge of your resources and make sound financial decisions.",,0,63.0,card_list_all
# Two of Pentacles - Reversed,# Two of Pentacles - Reversed (#%20Two%20of%20Pentacles%20-%20Reversed%2013ef84a0440281c882c8d01c9135dfea.md),Pentacles,51_Two_of_Pentacles.jpg,,"Imbalance, Lack of Flexibility, Overwhelm",Minor,"The Two of Pentacles represents balance, adaptability, and juggling multiple responsibilities. It advises you to find equilibrium in a situation that requires flexibility and careful management.",,0,51.0,card_list_all
# Queen of Pentacles - Reversed,# Queen of Pentacles - Reversed (#%20Queen%20of%20Pentacles%20-%20Reversed%2013ef84a04402813aba5dd53a9afd90fe.md),Pentacles,62_Queen_of_Pentacles.jpg,,"Financial Instability, Lack of Growth, emotional disconnect",Minor,"The Queen of Pentacles embodies nurturing, abundance, and a strong connection to the natural world. She encourages you to care for and provide for others, creating a warm and secure environment.",,0,62.0,card_list_all
# Page of Wands - Reversed,# Page of Wands - Reversed (#%20Page%20of%20Wands%20-%20Reversed%2013ef84a044028155b0aacd129fc46539.md),Wands,32_Page_of_Wands.jpg,,"Creative Block, Lack of Growth, Mental Confusion",Minor,"The Page of Wands signifies enthusiasm, exploration, and a spark of creative inspiration. It encourages you to embrace new experiences and take the first steps in pursuing your passions.",,0,32.0,card_list_all
# II The High Priestess - Reversed,# II The High Priestess - Reversed (#%20II%20The%20High%20Priestess%20-%20Reversed%2013ef84a0440281efa575dde6ba9d2737.md),Major Card,2_The_High_Priestess.jpg,,"Hidden Knowledge, Intuition, emotional disconnect",Major,The High Priestess embodies intuition and hidden knowledge. She encourages you to listen to your inner wisdom and explore the mysteries of life.,,0,2.0,card_list_all
# Five of Cups - Reversed,# Five of Cups - Reversed (#%20Five%20of%20Cups%20-%20Reversed%2013ef84a04402819a9319d0a2b1eabe19.md),Cups,40_Five_of_Cups.jpg,,"Emotional Setbacks, Loss, new perspective",Minor,"The Five of Cups signifies disappointment, loss, and emotional setbacks. It encourages you to acknowledge your grief but also reminds you that there are still positive aspects in your life.",,0,40.0,card_list_all
# XVII The Stars - Reversed,# XVII The Stars - Reversed (#%20XVII%20The%20Stars%20-%20Reversed%2013ef84a0440281beb4f4e5747b269b41.md),Major Card,17_The_Stars.jpg,,"lack of inspiration, lost hope, spiritual disconnection",Major,"The Stars represent hope, inspiration, and spiritual guidance. It suggests finding your inner light and pursuing your dreams with a sense of purpose and faith.",,0,17.0,card_list_all
# Two of Wands - Reversed,# Two of Wands - Reversed (#%20Two%20of%20Wands%20-%20Reversed%2013ef84a0440281159325de76bee3dfd8.md),Wands,23_Two_of_Wands.jpg,,"Choices, Lack of Growth, New Beginnings",Minor,"The Two of Wands represents planning, choices, and taking a new direction. It advises making decisions and setting goals that align with your long-term vision.",,0,23.0,card_list_all
# Ten of Cups - Reversed,# Ten of Cups - Reversed (#%20Ten%20of%20Cups%20-%20Reversed%2013ef84a04402812b924edbbe7af1b0b4.md),Cups,45_Ten_of_Cups.jpg,,"emotional disconnect, lack of harmony, unfulfilled potential",Minor,"The Ten of Cups symbolizes harmony, love, and domestic bliss. It represents a joyful and loving family or a deep sense of emotional fulfillment in your personal life.",,0,45.0,card_list_all
# King of Wands - Reversed,# King of Wands - Reversed (#%20King%20of%20Wands%20-%20Reversed%2013ef84a04402816ab6a8c5f4e810e5e2.md),Wands,35_King_of_Wands.jpg,,"Emotional Setbacks, Lack of Direction, Loss",Minor,"The King of Wands symbolizes leadership, vision, and taking charge of situations. It suggests that you have the qualities of a natural leader and can inspire others with your ideas and actions.",,0,35.0,card_list_all
# Seven of Cups - Reversed,# Seven of Cups - Reversed (#%20Seven%20of%20Cups%20-%20Reversed%2013ef84a0440281db9744d0d3083aaf16.md),Cups,42_Seven_of_Cups.jpg,,"Mental Confusion, lost potential, unrealistic expectations",Minor,"The Seven of Cups represents choices, fantasies, and daydreams. It advises you to be mindful of your options and avoid getting lost in unrealistic or overly idealistic dreams.",,0,42.0,card_list_all
