scan_id,rel_path,abs_path,name,ext,size,mtime_ns,ctime_ns,inode,content_hash,hash_algo,scanned_at
SCAN-20260518-123600,10_quick_captures/Receipt - McDonald's.pdf,G:\My Drive\QiNexus\00_inbox\10_quick_captures\Receipt - McDonald's.pdf,Receipt - McDonald's.pdf,.pdf,695089,1778981827581000000,1778981827581000000,5371,4c252722448ebcad77f958a06d0638da4316552ec2cbfbf4b590bbeb46e238ed,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,20_unsorted_files/from_10_flow_00_inbox/case_workflows_print.pdf,G:\My Drive\QiNexus\00_inbox\20_unsorted_files\from_10_flow_00_inbox\case_workflows_print.pdf,case_workflows_print.pdf,.pdf,6830,1758470296000000000,1773840757624000000,6819,7057cf6e6d71c3b531657cc7dfe06fd76cbae0f577a0fb93f71d08fe14a1e55f,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,20_unsorted_files/from_10_flow_00_inbox/04222026_INDIANA PHYSICIAN ORDERS FOR SCOPE OF TREATMENT (.pdf,G:\My Drive\QiNexus\00_inbox\20_unsorted_files\from_10_flow_00_inbox\04222026_INDIANA PHYSICIAN ORDERS FOR SCOPE OF TREATMENT (.pdf,04222026_INDIANA PHYSICIAN ORDERS FOR SCOPE OF TREATMENT (.pdf,.pdf,519545,1776885650068000000,1776885712219000000,6820,8c6057df89fbfa778912f1de8d6fd4ab4311380e4d334be32156d152b61db6ff,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,20_unsorted_files/from_10_flow_00_inbox/Cody_Rice-Velasquez_Orientation_and_Onboardin (1).pdf,G:\My Drive\QiNexus\00_inbox\20_unsorted_files\from_10_flow_00_inbox\Cody_Rice-Velasquez_Orientation_and_Onboardin (1).pdf,Cody_Rice-Velasquez_Orientation_and_Onboardin (1).pdf,.pdf,7485740,1777486327520000000,1777486327520000000,6821,4ec69f330178b3e2a54b5e84238b08381c98af9ac6223c611073c1d72fe0a813,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,20_unsorted_files/from_10_flow_00_inbox/backup_codes.txt,G:\My Drive\QiNexus\00_inbox\20_unsorted_files\from_10_flow_00_inbox\backup_codes.txt,backup_codes.txt,.txt,150,1778109823121000000,1778109823121000000,6822,3db5c1d84bb9bbeaab4dc6e037db041f382bd75553b11c3d9b607c74d4d2e234,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,20_unsorted_files/from_10_flow_00_inbox/Graphify as a QiOS Mapping Layer.md,G:\My Drive\QiNexus\00_inbox\20_unsorted_files\from_10_flow_00_inbox\Graphify as a QiOS Mapping Layer.md,Graphify as a QiOS Mapping Layer.md,.md,9165,1778824091870000000,1778824070777000000,6823,b1c5cd448a3fe46558461faaeceb62d167f4ca374c1ef0cf548772b7583292d6,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,30_pending_review/from_10_flow_20_timeline/35_medical_reference/30_medical_and_health/20December-15-GILEAD-JoelRiceVelasquez.pdf,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_20_timeline\35_medical_reference\30_medical_and_health\20December-15-GILEAD-JoelRiceVelasquez.pdf,20December-15-GILEAD-JoelRiceVelasquez.pdf,.pdf,178248,1750379392935000000,1770693420657000000,77457,9a0fec55197d851a2e9fb723a30acc2a648d54017f495728d8bc495b80da9359,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,30_pending_review/from_10_flow_20_timeline/35_medical_reference/30_medical_and_health/Sundowning/readme.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_20_timeline\35_medical_reference\30_medical_and_health\Sundowning\readme.md,readme.md,.md,3754,1767753388997000000,1767753382705000000,77458,8a4c545c3ca995ea5c6a7aa13676031ca7baabf5b20b3e00a886c6e8fdd96999,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,30_pending_review/from_10_flow_20_timeline/35_medical_reference/30_medical_and_health/Sundowning/inventory_consumption/notion_inventory_consumption_readme.md,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_20_timeline\35_medical_reference\30_medical_and_health\Sundowning\inventory_consumption\notion_inventory_consumption_readme.md,notion_inventory_consumption_readme.md,.md,3974,1767838683752000000,1767838691634000000,77460,133a272a5d838d95d3101ac2c128987d05b7aa11a253371e14bfce0b3cd5b442,blake3,2026-05-18T17:36:00+00:00
SCAN-20260518-123600,30_pending_review/from_10_flow_20_timeline/10_identity/qrcode-cody-contact-card.png,G:\My Drive\QiNexus\00_inbox\30_pending_review\from_10_flow_20_timeline\10_identity\qrcode-cody-contact-card.png,qrcode-cody-contact-card.png,.png,5970,1767231914900000000,1767249816000000000,77444,48a3a7a6681583d8c02ace5328f806d8286798c2d3dab6141e03a436219625ef,blake3,2026-05-18T17:36:00+00:00
